country,iso3,continent,lat_grid,lon_grid,inform_risk_score,risk_label,eq_count,eq_mag_mean,eq_mag_max,eq_depth_mean
Canada,CAN,North America,67.5,-140.5,2.7,Low,0,0.0,0.0,0.0
Canada,CAN,North America,68.5,-140.5,2.7,Low,0,0.0,0.0,0.0
Canada,CAN,North America,69.5,-140.5,2.7,Low,0,0.0,0.0,0.0
United States of America,USA,North America,59.5,-139.5,3.2,Low,1,5.3,5.3,16.2
Canada,CAN,North America,60.5,-139.5,2.7,Low,2,5.2,5.4,13.35
Canada,CAN,North America,61.5,-139.5,2.7,Low,1,4.8,4.8,2.963
Canada,CAN,North America,62.5,-139.5,2.7,Low,0,0.0,0.0,0.0
Canada,CAN,North America,63.5,-139.5,2.7,Low,0,0.0,0.0,0.0
Canada,CAN,North America,64.5,-139.5,2.7,Low,0,0.0,0.0,0.0
Canada,CAN,North America,65.5,-139.5,2.7,Low,0,0.0,0.0,0.0
Canada,CAN,North America,66.5,-139.5,2.7,Low,0,0.0,0.0,0.0
Canada,CAN,North America,67.5,-139.5,2.7,Low,0,0.0,0.0,0.0
Canada,CAN,North America,68.5,-139.5,2.7,Low,0,0.0,0.0,0.0
Canada,CAN,North America,69.5,-139.5,2.7,Low,0,0.0,0.0,0.0
United States of America,USA,North America,59.5,-138.5,3.2,Low,3,4.6,4.8,13.4
Canada,CAN,North America,60.5,-138.5,2.7,Low,0,0.0,0.0,0.0
Canada,CAN,North America,61.5,-138.5,2.7,Low,1,5.0,5.0,1.0
Canada,CAN,North America,62.5,-138.5,2.7,Low,0,0.0,0.0,0.0
Canada,CAN,North America,63.5,-138.5,2.7,Low,0,0.0,0.0,0.0
Canada,CAN,North America,64.5,-138.5,2.7,Low,0,0.0,0.0,0.0
Canada,CAN,North America,65.5,-138.5,2.7,Low,0,0.0,0.0,0.0
Canada,CAN,North America,66.5,-138.5,2.7,Low,0,0.0,0.0,0.0
Canada,CAN,North America,67.5,-138.5,2.7,Low,0,0.0,0.0,0.0
Canada,CAN,North America,68.5,-138.5,2.7,Low,0,0.0,0.0,0.0
United States of America,USA,North America,58.5,-137.5,3.2,Low,8,4.675,5.1,6.7875
Canada,CAN,North America,59.5,-137.5,2.7,Low,2,5.15,5.7,5.76
Canada,CAN,North America,60.5,-137.5,2.7,Low,0,0.0,0.0,0.0
Canada,CAN,North America,61.5,-137.5,2.7,Low,0,0.0,0.0,0.0
Canada,CAN,North America,62.5,-137.5,2.7,Low,0,0.0,0.0,0.0
